query,argument,stance,snippet
feminism,"XD you request that someone argue that feminism is fair based on FACTS!?... I think we both know that's not possible because feminism is based completely on emotions and not statistics. I feel like you were hoping a real feminist would accept your challenge so you could destroy them... lets be honest, feminists aren't brave enough to go on a website and take up an argument by themselves. you would probably make a lot of good points, but you would loses because the feminist will just go an wine to there friends and get them to come back her up. While I'm not a feminist, in fact I hate feminism, but I will be happy to represent a fair argument in there favor of there beliefs, regardless of how ignorant and retarded they might be XD I have dealt with a lot of feminists so I trust I can at least try to give you a good fight. Okay -breaths deeply- lets do this... in the situation of two people getting divorced, and assuming the woman gets the children who pays alimony? the woman isn't going to pay alimony to herself! Ha ha men only ever pay alimony when the woman gets the children so I think your questions should be, why do women get the children more often. well it has been proved by science, history, and personal experience that women are better with children. men don't pay alimony because of sexism, they pay alimony because the situation just happens to favor women. I don't understand how people can say that feminism is man hating. it's not hateful of men it is hateful of hate towards women which happens to be more prevalent in men. (P.S. let me know if you thought I was going to go with that ""feminism is the belief of equality"" BS XD) it isn't our fault you hate women me than women do.",PRO,"I feel like you were hoping a real feminist would accept your challenge so you could destroy them... lets be honest, feminists aren't brave enough to go on a website and take up an argument by themselves. ... you would probably"
feminism,"Hi everyone I'm Ilan and I am not a feminist. Immediately alarm bells may be ringing in your mind that maybe this guy is a ""sexist"" or ""a rape apologist"" or anything of the such so just to clarify I am none of these things. I firmly believe that in the idea that everyone should be equal no if ands and or buts. And now you might be thinking why is this guy not a feminist then? Well, the answer to that question is that feminism does not have a monopoly on equality; if you believe in equality you are not automatically a feminist as many feminists like to state. I am in fact an egalitarian. The difference between the two is that feminism is merely about getting equality for women whereas egalitarianism is equality for absolutely everybody. The dictionary definition of egalitarian is ""believing in or based on the principle that all people are equal and deserve equal rights and opportunities."" and that for feminism is ""the advocacy of women's rights on the ground of the equality of the sexes."". Now that we have established some ground I can really start to get into why I am not a feminist. First of all, I am a man. And I am not trying to say that men cannot be feminists, be whatever the hell that you want, but as a man, I feel that I should campaign for my sex and as we have already established feminism is not about gaining equality for all but helping just Women to achieve equality. Even feminists that say that men and other groups are included in feminist issues still do not really campaign for our problems. One major issue that men face is prostate cancer. Prostate cancer kills just as many people as breast cancer does but receives merely half the funding towards research and cures. I have never in my life met a feminist that has agreed with the statement ""Prostate cancer is a feminist issue"" because quite frankly it is not. Many feminists also like to say that MRAs (Men's Rights Activists) are the ones that should be campaigning for male problems but if it really is for everyone then why does feminism not cover everybody's problems. Here I have merely scratched the surface of male problems that feminism does not address such as the fact that 4 times more men commit suicide than women or that 70% of homeless people are estimated to be men or the significantly less jail time for female rapists than men. I could go on but I want to hear what everyone else has to say about this! I thank you for hearing out what I had to say if you made it this far and hope you all have a wonderful day. Ilan",CON,Many feminists also like to say that MRAs (Men's Rights Activists) are the ones that should be campaigning for male problems but if it really is for everyone then why does feminism not cover everybody's problems. ... Here I have
feminism,"According to the rules, I can't make my rebuttal now, so I will skip directly to my second point: Based on my opponent's definition, feminism is not sexist. Now that I start to think about it, I don't really have a BoP, since my opponent is the one claiming that something (feminism) has a particular characteristic (sexist). Nonetheless, I will do my best to provide good reasons to reject the assertion that feminism is sexist. Reminder: Definition of feminism as stated by my opponent: '[Feminism is] The advocacy [or support thereof] of women’s rights on the ground of the equality of the sexes"" Definition of sexism as stated by my opponent: ""[Sexism is] Prejudice, stereotyping, or discrimination, typically against women, on the basis of sex."" The definition of sexism contains three important words: Prejudice, stereotyping and discrimination. I will address them one by one. Prejudice: Definition: 'Preconceived opinion that is not based on reason or actual experience' http://www.oxforddictionaries.com... Does feminism advocate prejudice on the basis of sex? According to the definition of feminism, it does not; feminism advocates equal rights between men and women. Experience (as well as reason) as thought us that a society in which everyone possesses equal rights is better of than one where that isn't the case. Therefore, one can not say that feminism advocates prejudice on the basis of sex. Stereotype: Definition: 'A widely held but fixed and oversimplified image or idea of a particular type of person or thing' http://www.oxforddictionaries.com... Does feminism use stereotypes on the basis of sex? According to the definition of feminism, it does not; advocating equality between men and women is actually a good way to ELIMINATE stereotypes, which historically have been mostly directed at women (a few examples: http://www.businessinsider.com...). Therefore, one can not say that feminism is using stereotypes on the basis of sex. Discrimination: Definition: 'The unjust or prejudicial treatment of different categories of people, especially on the grounds of race, age, or sex' http://www.oxforddictionaries.com... Does feminism advocate the use of discrimination on the basis of sex? Again, according to the definition of feminism, it does not; advocating equal rights is a good way to make sure that we live in a JUST system. Feminism actually seeks to eliminate the idea that men and women are 'different categories of people'. (I have already covered prejudice). Therefore, one can not say that feminism advocates the use of discrimination on the basis of sex. (My other arguments address what my opponent says in Round 2, so I will keep them for the rebuttal) Since feminism advocates neither prejudice nor stereotype nor discrimination, we can safely conclude that, according to the definitions of feminism and sexism, feminism is not sexist.",PRO,"According to the definition of feminism, it does not; feminism advocates equal rights between men and women. ... (My other arguments address what my opponent says in Round 2, so I will keep them for the rebuttal) Since feminism"
feminism,"First to answer the attack on Observation One: Pro's response to this was that we are not in Iraq. This piece of evidence was from 2010, and since then nothing has changed as we still have people supporting feminism. During the Iraq war, it was true that they were more likely to be raped than shot. If we were in Iraq today it would still stand. Next he said he was never talking about pornography, however it can be inferred from his opener. Now the big argument he made in this last round was that all my arguments were about equal rights, not feminism. However, this argument is flawed. A quick google search indicates the definition of feminism is ""the advocacy of women's rights on the grounds of political, social, and economic equality to men."" This meas that feminism, by its very definition means equal rights to women. Pro admitted they are pro equal rights, so therefore, by the very definition of feminism, they are pro feminism. Additionally, note Observation 2 and Advantages 1 and 2 were untouched in the last round, which is reason alone to vote for con. In conclusion, by the definition of feminism, pro conceded that feminism is good, as well as not denying that feminism is bad by not attacking my advantages of feminism.",CON,"If we were in Iraq today it would still stand. ... Next he said he was never talking about pornography, however it can be inferred from his opener."
feminism,"First off, I did some searching, and the Marriam-Webster dictionary is made in liberal Massachusetts. They clearly bended the definition to serve their needs. I don't agree with that definition. You see, if a said a was a ""masculinist"", people would say that I'm male supremacist, but if I called myself a feminist, I would be called a ""champion of rights"". So, since ""masculinism"" is male supremacy, then feminism is female supremacy. I consider myself an ""equalist"". Feminism today is so twisted and hypocritical today, that it is best to abandon it. I am for the rights of men AND women, not JUST women, and not ONLY men.",CON,"First off, I did some searching, and the Marriam-Webster dictionary is made in liberal Massachusetts.  ... You see, if a said a was a ""masculinist"", people would say that I'm male supremacist, but if I called myself a feminist, I"
feminism,"But that is still promoting FEMALES as you said. It in no way promotes men. It simply belittles men in the eyes of the public. I agree that women are raped and sexually assulted by men but that has really nothing to do with the feminism I am speaking of. That is where feminism has come. It started as a civil rights movement in the 20s when women gained the right to vote. It has since pushed for women's rights which is fine. But the way the organization itself belittles the male population is disgusting. It has turned from a civil rights movement to a full blown rape awareness campaing. Rape has nothing to do with the rights of women. Rape is simply an action performed by an ignorant human. Women can rape too. Although not as common, it has happened and cases have been dismissed involving a man being raped. It is very clear that feminism does have a gender and that gender is female. It may have male supporters but it is a organization that promotes women and women only.",CON,"But the way the organization itself belittles the male population is disgusting. ... Although not as common, it has happened and cases have been dismissed involving a man being raped."
feminism,"First off, thank you very much for accepting my argument. Now, to feminism, women often claim that they are given unequal rights, when in the past this is proven, yes. But, throughout time women have received every right that a man has. Women can now join the army. Women can now become president. Women can now vote. The list goes on for a very long time. So, in 1st world countries such as the USA, there should be no such thing as a feminist. The same can not be said for 3rd world countries, where women rights have not been established and women often have to be near a man to go anywhere in the city. However we still find feminists in 1st world countries. In fact, I dare to say that men are the ones who are the subordinate, because in a war, which gender is forced to go because of the deaths of volunteers? Men. Which gender still complains that they are given unequal rights? Women. I agree that radical feminism is a different debate altogether, but normal feminism itself is an extremely incorrect argument.",CON,"Women can now vote. ... I agree that radical feminism is a different debate altogether, but normal feminism itself is an extremely incorrect argument."
feminism,"Nobody has ever had the courage to actually debate this with me without forfeiting or using ad-homenim. Anyways, here's my argument: Modern feminism is harmful for many reasons. The first hint at this is the prefix ""Fem"", or about women. Not about men, because feminism doesn't care about inequality towards men. Now, I would like to address the issue of the ""wage gap"". The wage gap of 77% was a statistic measured many years ago. This is just assuming this statistic is true, which I don't think it is. Next I would like to address the issue of domestic violence. Is domestic violence against women a problem? Yes. Of course it is. However, statistics have pointed out that close to 40% of domestic violence victims are men. Little to no attention has been given to this issue Finally, I would like to address body image. Are women pressured to stay thin? As with domestic violence, yes. They are. But, again, so are men. If anyone has read this far, thank you. I hope that someone will debate with me to help me shed light on feminism.",CON,Next I would like to address the issue of domestic violence. ... I hope that someone will debate with me to help me shed light on feminism.
feminism,"Modern feminism is harmful for many reasons. The first hint at this is the prefix ""Fem"", or about women. Not about men, because feminism doesn't care about inequality towards men. Now, I would like to address the issue of the ""wage gap"". The wage gap of 77% was a statistic measured many years ago. This is just assuming this statistic is true, which I don't think it is. Next I would like to address the issue of domestic violence. Is domestic violence against women a problem? Yes. Of course it is. However, statistics have pointed out that close to 40% of domestic violence victims are men. Little to no attention has been given to this issue Finally, I would like to address body image. Are women pressured to stay thin? As with domestic violence, yes. They are. But, again, so are men. If anyone has read this far, thank you. I hope that someone will debate with me to help me shed light on feminism.",CON,"Next I would like to address the issue of domestic violence. ... Little to no attention has been given to this issue Finally, I would like to address body image."
abortion,"Abortion is the ending of pregnancy by the removal or forcing out from the womb of a fetus or embryo before it is able to survive on its own. An abortion can occur spontaneously, in which case it is often called a miscarriage. It can also be purposely caused in which case it is known as an induced abortion. The term abortion most commonly refers to the induced abortion of a human pregnancy. The similar procedure after the fetus may be able to survive on its own is medically known as a late termination of pregnancy. There are two kinds of abortion in the U.S. "" in-clinic abortion and the abortion pill. Abortions are very common. In fact, 3 out of 10 women in the U.S. have an abortion by the time they are 45 years old. If you are pregnant, you have options. If you are trying to decide if abortion is the right choice for you, you probably have many things to think about. Learning the facts about abortion may help you in making your decision. You may also want to learn more about parenting and adoption. If you are under 18, your state may require one or both of your parents to give permission for your abortion or be told of your decision prior to the abortion. However, in most states you can ask a judge to excuse you from these requirements. Learn more about parental consent for abortion. Only you can decide what is best for you. But we are here to help. A staff member at your local Planned Parenthood health center can discuss abortion and all of your options with you and help you find the services you need. The debate over whether or not abortion should be a legal option continues to divide Americans. The abortion debate is the ongoing controversy surrounding the moral and legal status of abortion. The two main groups involved in the abortion debate are the self-described ""pro-choice"" movement (emphasizing the right of women to choose whether to abort a pregnancy or to grow it to term) and the self-described ""pro-life"" movement (emphasizing the right of the embryo or fetus to gestate and be born). Both of these ascriptions are considered loaded terms in mainstream media where terms such as ""abortion rights"" or ""anti-abortion"" are generally preferred. Each movement has, with varying results, sought to influence public opinion and to attain legal support for its position, with small numbers of anti-abortion advocates sometimes using violence. I believe a women should be able to decide, without consequences, whether to end the life of their unborn child or proceed with motherhood.",PRO,"In fact, 3 out of 10 women in the U.S. have an abortion by the time they are 45 years old. ... I believe a women should be able to decide, without consequences, whether to end the life of their unborn child or proceed with"
abortion,"Great, another forfeiter. As someone who has debated abortion before, I will put a link to my original abortion debate right here: http://www.debate.org... I will be using arguments that I used from that debate here, so if you have any questions about my argument, simply read my original arguments. (1) First of all, I would like to define an abortion. “Abortion is the termination ofpregnancy by the removal or expulsion from theuterus of afetus orembryo beforeviability. An abortion can occur spontaneously, in which case it is often called amiscarriage, or it can be purposelyinduced. The term abortion most commonly refers to the induced abortion of a human pregnancy. After viability, the relevant procedure is referred to as a ‘late termination of pregnancy’ Modern medicine utilizes medications and surgical procedures for induced abortion.” From Wikipedia Great. Now that we all know what abortion is, I would like to bring up that Abortion is a right in many countries. Almost every country in the world have abortion that is legal to a degree. Often countries allow abortions only in special cases, like rape, fetal defects and maternal health. Only 6 countries refuse to give abortions under any circumstance. However, many countries allow abortions for any reason. “The landmark abortion case Roe v. Wade, decided on Jan. 22, 1973 in favor of abortion rights, remains the law of the land. The 7-2 decision stated that the Constitution gives ‘a guarantee of certain areas or zones of privacy,’ and that ‘This right of privacy... is broad enough to encompass a woman's decision whether or not to terminate her pregnancy.’ ” Abortion in many countries is considered a civil right and taking away a right is not a good thing. Why? Simple. Discrimination. Anti-Abortion laws discriminate against rape-victims. Not only is it unfair to the mother but it is also unfair to the child. Imagine growing up with a mother who didn’t want you. This would be very bad. Any ways, I have to wrap things up. Thanks DDD. http://abortion.procon.org...",PRO,"I will be using arguments that I used from that debate here, so if you have any questions about my argument, simply read my original arguments. ... (1) First of all, I would like to define an abortion."
abortion,"""The greatest destroyer of peace is abortion because if a mother can kill her own child, what is left for me to kill you and you to kill me? There is nothing between,"" says Mother Teresa. Abortion, what does this really mean? The definition of abortion is the deliberate termination of a human pregnancy, most often performed during the first 28 weeks. About 42 million women in the entire world with unintended pregnancies choose abortion. Abortion is a big controversial topic, people believe abortion should be illegal and others think it should stay legal. Why would someone want to kill an innocent little life? It""s not their fault people made mistakes and now they""re the ones having to pay for it. Abortion should be illegal because abortions are not safe, laws are protecting unborn babies, and fetuses can feel pain. Abortion should have never been legal.",CON,"""The greatest destroyer of peace is abortion because if a mother can kill her own child, what is left for me to kill you and you to kill me?  ... Why would someone want to kill an innocent little life?"
abortion,"Thank you to both the audience and my opponent for yet another debate on abortion. The resolution is simply ""Abortion"" and my opponent has stated that he supports the affirmative. I shall then argue against that case. To begin, I submit the definition of Abortion by Medicine.net Medical Dictionary: Abortion: In medicine, an abortion is the premature exit of the products of conception (the fetus, fetal membranes, and placenta) from the uterus. It is the loss of a pregnancy and does not refer to why that pregnancy was lost. http://www.medterms.com... In addition, here is the wikipedia article in which the introduction defines abortion in the same manner: http://en.wikipedia.org... Since my opponent has used his first round to merely ask for my opening statement and did not clarify the resolution or offer any sort of framing, I will assume that my opponent is trying to affirm ""abortion"" in general. I start by arguing that there are many forms of abortion that should be prevented on moral grounds. 1. Partial Birth Abortions In which the fetus, nearly fully formed, is destroyed during induced labor. At this point in time, the mother might as well wait until full term and give it up for adoption as the already blurry line of morality in abortion becomes even blurrier. 2. Spontaneous Abortions In which a woman with an implanted fetus loses the fetus accidentally, commonly known as a miscarriage. This should be avoided because for the most part, women who miscarry actually wanted the child. 3. Abortions inflicted on unwilling people There is something inherently immoral in the act of walking up to a pregnant woman and kicking in her stomach such that she miscarries. Though this is a form of abortion, I argue that it should in no way be supported. 4. Dangerous abortions I am against many forms of abortion for health reasons. The use of coat hangers to stimulate an abortion, for example. Or throwing oneself off a flight of stairs. Or going to a back-alley abortionist that doubles as a tattoo parlor. These are all very dangerous ways of abortion. I look forward to my opponent's rebuttal. Thank you.",CON,"I shall then argue against that case. ... Since my opponent has used his first round to merely ask for my opening statement and did not clarify the resolution or offer any sort of framing, I will assume that my opponent is trying"
abortion,"-ABORTION- Abortion is the termination of a pregnancy by the removal or expulsion from the uterus of a fetus or embryo, resulting in or caused by its death.[1] An abortion can occur spontaneously due to complications during pregnancy or can be induced, in humans and other species. In the context of human pregnancies, an abortion induced to preserve the health of the gravid (pregnant female) is termed a therapeutic abortion, while an abortion induced for any other reason is termed an elective abortion. The term abortion most commonly refers to the induced abortion of a human pregnancy, while spontaneous abortions are usually termed miscarriages. I have a question for you do you believe in torturing terrorist? (if the answer is no) If you said no you are a moron because you believe in killing gods perfectly harmless creations for nothing and not killing a terrorist for terrorizing our country. Do you believe in the death sentence? If you said no your killing a baby for Nothing. Yes you are killing it you stop its heart from beating it. What do you think god and Jesus our lord and savior think about that. If you are atheist please Google john 3:16",CON,"In the context of human pregnancies, an abortion induced to preserve the health of the gravid (pregnant female) is termed a therapeutic abortion, while an abortion induced for any other reason is termed an elective abortion."
abortion,"-ABORTION- Abortion is the termination of a pregnancy by the removal or expulsion from the uterus of a fetus or embryo, resulting in or caused by its death.[1] An abortion can occur spontaneously due to complications during pregnancy or can be induced, in humans and other species. In the context of human pregnancies, an abortion induced to preserve the health of the gravid (pregnant female) is termed a therapeutic abortion, while an abortion induced for any other reason is termed an elective abortion. The term abortion most commonly refers to the induced abortion of a human pregnancy, while spontaneous abortions are usually termed miscarriages. I have a question for you do you believe in torturing terrorist? (if the answer is no) If you said no you are a moron because you believe in killing gods perfectly harmless creations for nothing and not killing a terrorist for terrorizing our country. Do you believe in the death sentence? If you said no your killing a baby for Nothing. Yes you are killing it you stop its heart from beating it. What do you think god and Jesus our lord and savior think about that. If you are atheist please Google john 3:16",CON,"In the context of human pregnancies, an abortion induced to preserve the health of the gravid (pregnant female) is termed a therapeutic abortion, while an abortion induced for any other reason is termed an elective abortion."
abortion,"Although I oppose abortion in most cases, I accepted this debate because Con's position is that abortion ""can never be justified regardless of circumstances."" That is the point I want to disagree with. I don't think anything Con said substantiates his position. He argues that abortion is not justified to avoid hardship, or deal with problems like low self-esteem, sexual exploitation, promiscuity, poverty, lack of education, and absense of moral guidence. I agree with all that. But those do not exhaust the circumstances under which a person might get an abortion; therefore, they do not show that abortion ""can never be justified regardless of the circumstances."" The one circumstance in which I think abortion is morally justified is in cases where the pregnancy puts the mother's life at risk. Abortion is justified in these cases for two reasons. First, it's justified because people have the right to preserve their own lives. Second, it's justified because if a pregnant woman dies, then so does her unborn, and it's better to save one life than to lose two. Since there is a circumstance under which abortion is justified, Con's claim that abortion ""can never be justified regardless of the circumstances"" is false.",PRO,"But those do not exhaust the circumstances under which a person might get an abortion; therefore, they do not show that abortion ""can never be justified regardless of the circumstances."" ... Second, it's justified because if a"
abortion,"-ABORTION- Abortion is the termination of a pregnancy by the removal or expulsion from the uterus of a fetus or embryo, resulting in or caused by its death.[1] An abortion can occur spontaneously due to complications during pregnancy or can be induced, in humans and other species. In the context of human pregnancies, an abortion induced to preserve the health of the gravid (pregnant female) is termed a therapeutic abortion, while an abortion induced for any other reason is termed an elective abortion. The term abortion most commonly refers to the induced abortion of a human pregnancy, while spontaneous abortions are usually termed miscarriages. I have a question for you do you believe in torturing terrorist? (if the answer is no) If you said no you are a moron because you believe in killing gods perfectly harmless creations for nothing and not killing a terrorist for terrorizing our country. Do you believe in the death sentence? If you said no your killing a baby for Nothing. Yes you are killing it you stop its heart from beating it. What do you think god and Jesus our lord and savior think about that. If you are atheist please Google john 3:16",CON,"In the context of human pregnancies, an abortion induced to preserve the health of the gravid (pregnant female) is termed a therapeutic abortion, while an abortion induced for any other reason is termed an elective abortion."
abortion,"Abortion is not the only way to get rid of an unwanted child. The child could be given to foster homes and be put for adoption that way that child has a chance at life. After ten weeks abortion procedures become very painful for the baby to experience. Bernard N. Nathanson,MD, a late abortion doctor who later quit that field because he became a pro-life activist after his experience. When performing an abortion a 12-week old child open its mouth in an unheard scream and followed by the death of this child. This whole experience was viewed through an ultrasound image. Abortion is so horrific that a professional doctor decided to quit his job as a late abortion doctor and became a pro-life activist because of how cruel abortion is. http://abortion.procon.org...",CON,The child could be given to foster homes and be put for adoption that way that child has a chance at life. ... http://abortion.procon.org...
abortion,"Abortion is needed to control the population so that the population doesn't get too excess. By the 22 century, the population estimated to be 11.2 billion people and if abortion were illegal, the population would be so much higher. If our country stops the use of abortion, we will end like china, forcing women that don't want to have an abortion to have an abortion to control the population. When women are forced to get abortions, a lot of women commit suicide. Women have a higher rate of suicide in China because of this reason and in almost every other country, men have a higher rate of suicide. If abortion were illegal, the population would grow tremendously, causing abortion to be forced onto women later in life, which will increase the suicide rate of women. http://www.allgirlsallowed.org...",PRO,"By the 22 century, the population estimated to be 11.2 billion people and if abortion were illegal, the population would be so much higher. ... If abortion were illegal, the population would grow tremendously, causing abortion to"
abortion,"I thank my opponent for his response to my previous statement. ""Whether or not abortion can also be classified as assault is irrelevant to this debate"" (I argue this statement) As a matter of fact it is relevant to this debate. The topic we are discussing is abortion and whether it should be accepted or not. Clearly anyone who is kicked in the stomach has witnessed an act of assault. Abortion is only abortion if it is considered to be or not to be by the child carrier. If not considered abortion, it is only a mere act of assault. This can happen to anyone. I now argue my opponent's ideology of the ""morning after pill"". Referring back to my opponent's definition of abortion, the morning after pill is also another form of abortion. It all eliminates the infant correct? Therefore, my opponent provided another form of abortion that he stated is the solution to pregnancy even though he is supposed to argue against it. Any act of the mother eliminating her child would be classified as abortion only if it is intended by the carrier. Immorality: No, I was not intending it to fall under my opponent's four categories. I was only preventing that from being argued. It may not be relevant to the four types of abortion, but it is relevant to the topic at hand. what is right and wrong?: The people in this world have their own basic concept of what is right or wrong. This can also relate to morality. Every single person shares the same individual mindset, their own gathered ideas and opinions of what is right and wrong. I extend my argument referring to morality with only the slightest question...What is moral in this world? Certainly not shaving. This refers to the Bible. It is absolutely hypocritical for someone who shaves to say abortion is immoral. In addition to my opponent's remark about whether kicking a woman in the stomach is moral or not. Assault is not moral. But then again we are not talking about assault, we are talking about abortion. Why I did not respond to the other three categories of abortion, well that is the thing....I actually did in a general remark. Referring to my previous statements about morality, intentional abortion and teen pregnancy. I extend my previous arguments..... In conclusion, I affirm abortion as a way of preventing further difficulty in life with both the mother and child. Creating problems or preventing them with out the slightest sense of guilt. Thank you!",PRO,"I thank my opponent for his response to my previous statement.  ... Therefore, my opponent provided another form of abortion that he stated is the solution to pregnancy even though he is supposed to argue against it."
abortion,"Abortion is a surgical or medical procedure that ends a pregnancy by destroying and removing the developing child from the uterus. Many young women decide to have an abortion because they believe it will be a quick resolution to a difficult situation. In a survey taken in the first few weeks after the abortion, between 40 and 60 percent of women questioned reported negative reactions. Within 8 weeks after their abortions, 55% expressed guilt and 31% had regrets about their decision. Since life begins at conception, abortion is akin to murder as it is the act of taking human life. Abortion is in direct defiance of the commonly accepted idea of the sanctity of human life. No civilized society permits one human to intentionally harm or take the life of another human without punishment, and abortion is no different. Adoption is a viable alternative to abortion and accomplishes the same result. And with 1.5 million American families wanting to adopt a child, there is no such thing as an unwanted child. An abortion can result in medical complications later in life; the risk of ectopic pregnancies doubles, and the chance of a miscarriage and pelvic inflammatory disease also increases. United States there are approximately 1.37 million abortions every year which comes out to 3,700 abortions every day.",CON,"Many young women decide to have an abortion because they believe it will be a quick resolution to a difficult situation. ... In a survey taken in the first few weeks after the abortion, between 40 and 60 percent of women"
abortion,"Rather than discussing the positives vs the negatives of abortion, con has simply claimed that ""abortion"" ""enslaves"" people into paying for their abortions. Would con be fine then if the woman had to pay for her own abortion? If so, then I don't see the problem; con would therefore agree that abortion is okay if the woman pays for it. Con's entire argument, however, about being ""enslaved"" would apply to the pro abortion side, not his side. In other words, con is arguing my side for me. If we became anti-abortion, then we'd all have to pay for unwanted babies that mother's were forced to have. This averages around 250k PER kid. http://www.huffingtonpost.com... Not only that, but this is simply the cost of raising a kid until he or she is 18. What if they can't find a job? Due to technology, we are moving AWAY from jobs, not towards jobs. We are already overpopulated as is; imagine what FORCING mother's to have kids they don't want would do to us. Talk about enslavement! We already have 100k orphans who are not adopted, and that's WITH allowing abortion. If we didn't allow abortion, that number could easily approach 1 million. https://showhope.org...",PRO,"Rather than discussing the positives vs the negatives of abortion, con has simply claimed that ""abortion"" ""enslaves"" people into paying for their abortions.  ... Due to technology, we are moving AWAY from jobs, not towards jobs."
abortion,"""Most people that want to make abortion illegal do so out of ignorance and emotion. "" - I do not believe I am one of those people. I think my argument against abortion is quite rational, Logical, And grounded in science. The debate really comes comes down if/when the fetus/unborn child is considered a life. If you believe it is a life and you are ok with abortion, Then you must defend why you believe that it is ok to end that life. To me, That's murder. If you do not believe it is a life, You must defend that argument against science/biology. ""Research has shown that making abortion illegal does not reduce abortion but does increases maternal mortality. "" - I completely disagree with this. Planned parenthood performed 350k abortions in 2018. Making abortion illegal would eliminate that chunk at the very least. Do you have a citation for this? Also, I'm in favor of legal abortion when the mother's life is at risk. ""As to the mother's danger, Pregnancy has a major effect on a person's body and emotional state, And every pregnancy carries some risk of serious complication or death. The crucial decision to take on that risk""no matter how small""can only be decided by the pregnant person themselves. "" - Not entirely true. At the very least, This is a gross overstatement. Sure, Every pregnancy carries SOME risk. Nothing is 100% safe. You have a chance of dying in a car accident every time you go on the highway. Plus, Just because pregnancy carries SOME risk is not a reason to kill an innocent child. ""Women""s lives, Health, And basic human rights depend on the availability of abortion, And those are the only factors necessary to justify abortion. "" - I disagree. Again, In the case of the woman's life being in danger, Abortion makes sense. It's a better outcome for one person to lose their life than two. I also don't agree abortion is a human right. Nobody has the right to take the life of anyone else.",CON,"Also, I'm in favor of legal abortion when the mother's life is at risk. ... It's a better outcome for one person to lose their life than two."
abortion,"Most people that want to make abortion illegal do so out of ignorance and emotion. Research has shown that making abortion illegal does not reduce abortion but does increases maternal mortality. As to the mother's danger, Pregnancy has a major effect on a person's body and emotional state, And every pregnancy carries some risk of serious complication or death. The crucial decision to take on that risk""no matter how small""can only be decided by the pregnant person themselves. Not you and law enforcement. . . Women""s lives, Health, And basic human rights depend on the availability of abortion, And those are the only factors necessary to justify abortion.",PRO,"Research has shown that making abortion illegal does not reduce abortion but does increases maternal mortality. ... As to the mother's danger, Pregnancy has a major effect on a person's body and emotional state, And every"
abortion,"The Supreme Court decided that states can't outlaw abortion because Prohibiting abortion is a violation of the 14th Amendment, according to the Court, and the constitution. Outlawing abortion is taking away a human right given to women. http://www.nrlc.org... in reality, a fetus is just a bunch of cells. It has not fully developed any vital organs like lungs. This means that an abortion is not murder, it is just killing of cells in the wound. If the child has no organs developed that would be vital for the baby to survive outside the wound, than having an abortion is not murder. http://umm.edu...",PRO,"The Supreme Court decided that states can't outlaw abortion because Prohibiting abortion is a violation of the 14th Amendment, according to the Court, and the constitution.  ... If the child has no organs developed that would be"
abortion,"While some might say that abortion is inhumane but in reality the fetus isn't even developed, therefore it would be painless to the baby. Abortion has to be legal to make sure that women get the proper care for one, in order to prevent illegal dangerous abortions. Also some women might need to get an abortion if they are likely to have a complicated birth. In addition to that, certain women have unwanted pregnancies, from an attack or abusive partner, and they might not want to carry that person's baby. Nobody wants to get an abortion if they don't have to, but because of how many circumstances there could be, abortion has to be legal.",PRO,"While some might say that abortion is inhumane but in reality the fetus isn't even developed, therefore it would be painless to the baby.  ... Also some women might need to get an abortion if they are likely to have a complicated"
abortion,"I will start with a couple of statements and facts. - Since life begins at conception, abortion is akin to murder as it is the act of taking human life. Abortion is in direct defiance of the commonly accepted idea of the sanctity of human life. - No civilized society permits one human to intentionally harm or take the life of another human without punishment, and abortion is no different. - Adoption is a viable alternative to abortion and accomplishes the same result. And with 1.5 million American families wanting to adopt a child, there is no such thing as an unwanted child. - An abortion can result in medical complications later in life; the risk of ectopic pregnancies doubles, and the chance of a miscarriage and pelvic inflammatory disease also increases.",CON,"- No civilized society permits one human to intentionally harm or take the life of another human without punishment, and abortion is no different. ... - An abortion can result in medical complications later in life; the risk of"
abortion,Abortion is unsafe to the female and to the child. 97% of women that have abortion say they experience with pain during the procedure and they are described as intense servers or very severe. Some doctors say it's the same pain as having cancer. There is more pain for younger women than older adults. The mother that is having abortion can have a harmful physical complication from abortion for example they can get overzealous curettage can damage the lining of the uterus and lead to permanent infertility. Having abortion can also lead to never becoming pregnant ever again in life. Abortion can also lead to death or it can lead to unwanted memories which can result to stress or depression. http://www.healthguidance.org.... http://www.cdc.gov...,CON,Abortion is unsafe to the female and to the child.  ... Having abortion can also lead to never becoming pregnant ever again in life.
abortion,"Having an abortion is not easy and quick. The mother feels a whole lot of pain and there are major risks too. The baby to feels pain. At 20 weeks, a baby is fully capable of feeling pain. The baby actually feels more pain than an adult. http://wrtl.org... The risks women have after an abortion is having breast cancer and depression. A woman who has had an abortion, has a 50% chance of getting breast cancer than a woman who hasn't has an abortion.http://www.tfpstudentaction.org... Two out of three women who had an abortion 12 weeks (or more) into there pregnancy, will suffer from PTSD (Post traumatic stress disorder). They will have flashbacks, anxiety, and nightmares about the abortion. Also 34% of the women who had an abortion are likely to develop an anxiety disorder. http://healthresearchfunding.org... https://www.google.com...=",CON,The baby actually feels more pain than an adult. ... http://healthresearchfunding.org... https://www.google.com...=
